50cm,mv,v,output,output2
23:34:00.027 -> ,140,0.68359375,43.12870225,50
23:34:00.062 -> ,140,0.68359375,43.12870225,50
23:34:00.062 -> ,140,0.68359375,43.12870225,50
23:34:00.062 -> ,140,0.68359375,43.12870225,50
23:34:00.097 -> ,140,0.68359375,43.12870225,50
23:34:00.097 -> ,140,0.68359375,43.12870225,50
23:34:00.133 -> ,140,0.68359375,43.12870225,50
23:34:00.133 -> ,140,0.68359375,43.12870225,50
23:34:00.170 -> ,140,0.68359375,43.12870225,50
23:34:00.170 -> ,140,0.68359375,43.12870225,50
23:34:00.170 -> ,140,0.68359375,43.12870225,50
23:34:00.204 -> ,140,0.68359375,43.12870225,50
23:34:00.204 -> ,140,0.68359375,43.12870225,50
23:34:00.240 -> ,140,0.68359375,43.12870225,50
23:34:00.240 -> ,140,0.68359375,43.12870225,50
23:34:00.273 -> ,140,0.68359375,43.12870225,50
23:34:00.273 -> ,139,0.678710938,43.50270702,50
23:34:00.313 -> ,139,0.678710938,43.50270702,50
23:34:00.313 -> ,139,0.678710938,43.50270702,50
23:34:00.313 -> ,141,0.688476563,42.7605407,50
23:34:00.347 -> ,141,0.688476563,42.7605407,50
23:34:00.347 -> ,141,0.688476563,42.7605407,50
23:34:00.381 -> ,141,0.688476563,42.7605407,50
23:34:00.381 -> ,141,0.688476563,42.7605407,50
23:34:00.417 -> ,139,0.678710938,43.50270702,50
23:34:00.417 -> ,139,0.678710938,43.50270702,50
23:34:00.453 -> ,139,0.678710938,43.50270702,50
